SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,Cntry,ZipCode,Country,HdrNote,ship-via
SLF940,VAND,166601,,BBB,EC2L3JL,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0306,BB&B #0306 Pentagon City,900 Army Navy Drive,,Arlington,VA,,22202-,,,
SLF940,VAND,166602,,BBB,EC2K2QS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1302,BB&B #1302 Canton,1810 Cumming Highway Suite 850,,Canton,GA,,30115-,,,
SLF940,VAND,166603,,BBB,EC2J9ES,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0543,BB&B #0543 Largo,10500 Ulmerton Road Suite 310,,Largo,FL,,33771-,,,
SLF940,VAND,166604,,BBB,EC2J7PX,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0291,BB&B #0291 Coral Springs,4631 NORTH UNIVERSITY DRIVE,,CORAL SPRINGS,FL,,33067-,,,
SLF940,VAND,166605,,BBB,EC2J5PW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1306,BB&B #1306 Homestead,2595 NE 10th Court,,Homestead,FL,,33033-,,,
SLF940,VAND,166606,,BBB,EC2J4KW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1029,BB&B #1029 Hattiesburgh,6143 US Hwy 98,,Hattiesburgh,MS,,39402-,,,
SLF940,VAND,166607,,BBB,EC2H7QG,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1422,BB&B #1422 Rehoboth Beach,30134 Veterans Way,,REHOBOTH BEACH,DE,,19971-,,,
SLF940,VAND,166608,,BBB,EC2H7KK,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0774,BB&B #0774 Durham,3616 Witherspoon Blvd.,Suite 103,Durham,NC,,27707-,,,
SLF940,VAND,166609,,BBB,EC2H3XH,1,PL5202,,,,24,4,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1053,BB&B #1053 Crestview Hills,2757 Town Center Blvd,,Crestview Hills,KY,,41017-,,,
SLF940,VAND,166610,,BBB,EC2H3DG,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1125,BB&B #1125 North Naples,13585 Tamiami Trail N. Unit #6,,Naples,FL,,34110-,,,
SLF940,VAND,166611,,BBB,EC2H2RK,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1409,BB&B #1409 Tuscaloosa,1320 McFarland Blvd E BLDG 300,,TUSCALOOSA,AL,,35404-,,,
