SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,Cntry,ZipCode,Country,HdrNote,ship-via
SLF940,VAND,165901,,BBB,EB4Q2GS,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0804,BB&B #0804 Upper Arlington,1717 West Lane Avenue Unit D2,,Upper Arlington,OH,,43221-,,,
SLF940,VAND,165902,,BBB,EB4P9UU,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0108,BB&B #0108 Rockford,6309 EAST STATE STREET,,ROCKFORD,IL,,61108-,,,
SLF940,VAND,165903,,BBB,EB4P9ZA,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0578,BB&B #0578 Cortana,9001 Florida Blvd Suite E,,Baton Rouge,LA,,70815-,,,
SLF940,VAND,165904,,BBB,EB4P9PC,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0788,BB&B #0788 Mt. Laurel,8 Centerton Road,,Mt. Laurel,NJ,,08054-,,,
SLF940,VAND,165905,,BBB,EB4P9KY,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0426,BB&B #0426 Onslow,1305 Western Blvd,,Jacksonville,NC,,28546-,,,
SLF940,VAND,165906,,BBB,EB4P9GB,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0450,BB&B #0450 Auburn,366 Southbridge Street,,Auburn,MA,,01501-,,,
SLF940,VAND,165907,,BBB,EB4P7XW,1,PL5202,,,,30,5,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0052,BB&B #0052 Columbia 52,9021 SNOWDEN RIVER PARKWAY,,COLUMBIA,MD,,21046-,,,
SLF940,VAND,165908,,BBB,EB4P6GY,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0762,BB&B #0762 Traverse City,3301 N US 31 South,,Traverse City,MI,,49684-,,,
SLF940,VAND,165909,,BBB,EB4P5ZT,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1011,BB&B #1011 Aberdeen,200 Aberdeen Commons 11088 US,,Aberdeen,NC,,28315-,,,
SLF940,VAND,165910,,BBB,EB4P6AS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0171,BB&B #0171 Oviedo,1115 Vidina Place,,Oviedo,FL,,32765-,,,
SLF940,VAND,165911,,BBB,EB4P5TM,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0098,BB&B #0098 Birmingham,1771 MONTGOMERY HIGHWAY,,HOOVER,AL,,35244-,,,
SLF940,VAND,165912,,BBB,EB4P3XC,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0364,BB&B #0364 Taylor,23871 Eureka Road,,Taylor,MI,,48180-,,,
SLF940,VAND,165913,,BBB,EB4P2QS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0049,BB&B #0049 Sterling Heights,12020 HALL ROAD,,STERLING HEIGHTS,MI,,48313-,,,
SLF940,VAND,165914,,BBB,EB4N9TB,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1131,BB&B #1131 River City,13221 City Station Drive Suite,,Jacksonville,FL,,32218-,,,
SLF940,VAND,165915,,BBB,EB4N8GP,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0814,BB&B #0814 Zionsville,6010 W. 86th Street Suite 100,,Indianapolis,IN,,46278-,,,
SLF940,VAND,165916,,BBB,EB4N8NA,1,PL5202,,,,30,5,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0109,BB&B #0109 Framingham,84-86 WORCESTER ROAD,,FRAMINGHAM,MA,,01702-,,,
SLF940,VAND,165917,,BBB,EB4N6PZ,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0591,BB&B #0591 Avondale,10060 W Mc Dowell Road,,Avondale,AZ,,85323-,,,
SLF940,VAND,165918,,BBB,EB4N6LJ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0459,BB&B #0459 Monrovia,650 West Huntington Drive,,Monrovia,CA,,91016-,,,
SLF940,VAND,165919,,BBB,EB4N6CP,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1339,BB&B #1339 Medford,1600 North Riverside Ave,,Medford,OR,,97501-,,,
SLF940,VAND,165920,,BBB,EB4N5UP,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0590,BB&B #0590 Mobile,3725 Airport Blvd Suite 100A,,Mobile,AL,,36608-,,,
SLF940,VAND,165921,,BBB,EB4N4VJ,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0584,BB&B #0584 Sangamon,3251 S Veterans Parkway,,Springfield,IL,,62704-,,,
SLF940,VAND,165922,,BBB,EB4N4MW,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0347,BB&B #0347 Royal Palm Beach,540 North State Road 7,,Royal Palm Beach,FL,,33411-,,,
SLF940,VAND,165923,,BBB,EB4N4TZ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0506,BB&B #0506 Lakeview,2838 North Broadway,Suite 1,Chicago,IL,,60657-,,,
SLF940,VAND,165924,,BBB,EB4N4GW,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0445,BB&B #0445 Beaverton,2780 SW Cedar Hills Blvd,,Beaverton,OR,,97005-,,,
SLF940,VAND,165925,,BBB,EB4N3VA,1,PL5202,,,,60,10,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0223,BB&B #0223 Blossom Hill,5353 ALMADEN EXPRESSWAY,,SAN JOSE,CA,,95118-,,,
SLF940,VAND,165926,,BBB,EB4N3DH,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0130,BB&B #0130 Holyoke,39 HOLYOKE STREET,,HOLYOKE,MA,,01040-,,,
SLF940,VAND,165927,,BBB,EB4N3CF,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0288,BB&B #0288 Westland,35615 Warren Road,,WESTLAND,MI,,48185-,,,
SLF940,VAND,165928,,BBB,EB4M9NF,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0829,BB&B #0829 Newburgh,1399 Route #300,,Newburgh,NY,,12550-,,,
SLF940,VAND,165929,,BBB,EB4M9DY,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0378,BB&B #0378 Rochester Hills,1242 South Rochester Road,,Rochester Hills,MI,,48307-,,,
SLF940,VAND,165930,,BBB,EB4M7RK,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0333,BB&B #0333 Meridian,1350 North Eagle Road,,Meridian,ID,,83642-,,,
SLF940,VAND,165931,,BBB,EB4M4RZ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0007,BB&B #0007 Lawrenceville,101-B MERCER MALL,,LAWRENCEVILLE,NJ,,08648-,,,
SLF940,VAND,165932,,BBB,EB4M7FQ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1314,BB&B #1314 Riverhead,1440 Old Country Road Suite 30,,Riverhead,NY,,11901-,,,
SLF940,VAND,165933,,BBB,EB4M3XJ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1391,BB&B #1391 Lawton,421 NW 2nd Street,,Lawton,OK,,73507-,,,
SLF940,VAND,165934,,BBB,EB4M3VG,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0121,BB&B #0121 Wolfchase,2810 GERMANTOWN PARKWAY,,MEMPHIS,TN,,38133-,,,
SLF940,VAND,165935,,BBB,EB4M3MV,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0518,BB&B #0518 Vero Beach,6150 20th Street,,Vero Beach,FL,,32966-,,,
SLF940,VAND,165936,,BBB,EB4M3AJ,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1069,BB&B #1069 Cypress,25839 US Highway 290,,Cypress,TX,,77429-,,,
SLF940,VAND,165937,,BBB,EB4L9LS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0416,BB&B #0416 Boulder,1741 28th Street,,Boulder,CO,,80301-,,,
SLF940,VAND,165938,,BBB,EB4M2ZR,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0294,BB&B #0294 Sugarhouse,1169 WILMINGTON AVENUE,,SALT LAKE CITY,UT,,84106-,,,
SLF940,VAND,165940,,BBB,EB4L7EX,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1120,BB&B #1120 Spring Valley,14B Spring Valley Marketplace,,Spring Valley,NY,,10977-,,,
SLF940,VAND,165941,,BBB,EB4L6NG,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1302,BB&B #1302 Canton,1810 Cumming Highway Suite 850,,Canton,GA,,30115-,,,
SLF940,VAND,165942,,BBB,EB4L4GB,1,PL5202,,,,36,6,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0460,BB&B #0460 Sunset Hills,10770 Sunset Hills Plaza,,St Louis,MO,,63127-,,,
SLF940,VAND,165943,,BBB,EB4L3DW,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0196,BB&B #0196 Towson,1238 PUTTY HILL AVENUE,Suite 1,TOWSON,MD,,21286-,,,
SLF940,VAND,165944,,BBB,EB4L2FT,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0625,BB&B #0625 North Arlington,800 Road To Six Flags East,,Arlington,TX,,76011-,,,
SLF940,VAND,165945,,BBB,EB4L2SL,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0148,BB&B #0148 Mountain Brook,313 SUMMIT BOULEVARD,,BIRMINGHAM,AL,,35243-,,,
SLF940,VAND,165946,,BBB,EB4L2BL,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0535,BB&B #0535 Mc Allen,620 E Expressway 83,,Mc Allen,TX,,78503-,,,
SLF940,VAND,165947,,BBB,EB4K9BW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0224,BB&B #0224 Brick,51 CHAMBERSBRIDGE ROAD,,BRICK,NJ,,08723-,,,
SLF940,VAND,165948,,BBB,EB4K8YS,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0754,BB&B #0754 Plainview,401 S Oyster Bay Road,,Plainview,NY,,11803-,,,
SLF940,VAND,165949,,BBB,EB4K8NS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1260,BB&B #1260 Sandy,10433 South State Street,,Sandy,UT,,84070-,,,
SLF940,VAND,165950,,BBB,EB4K7NM,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0812,BB&B #0812 Bend,63455 North Highway 97,Suite 113,Bend,OR,,97703-,,,
SLF940,VAND,165951,,BBB,EB4K7DU,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1261,BB&B #1261 Lake St. Louis,4 Meadows Circle Drive,,Lake St Louis,MO,,63367-,,,
SLF940,VAND,165952,,BBB,EB4K6YE,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0547,BB&B #0547 Tyler,8970 S Broadway Ave Suite 144,,Tyler,TX,,75703-,,,
SLF940,VAND,165953,,BBB,EB4K6RF,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1062,BB&B #1062 Paducah,5187 Hinkleville Road Suite B,,Paducah,KY,,42001-,,,
SLF940,VAND,165954,,BBB,EB4K5SK,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1247,BB&B #1247 Eastchase,7971 Eastchase Parkway,,Montgomery,AL,,36117-,,,
SLF940,VAND,165955,,BBB,EB4K5AF,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0266,BB&B #0266 Eatontown,92 ROUTE 36,,EATONTOWN,NJ,,07724-,,,
SLF940,VAND,165956,,BBB,EB4K4VQ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0561,BB&B #0561 Dubuque,2475 NW Arterial,,Dubuque,IA,,52002-,,,
SLF940,VAND,165957,,BBB,EB4K2ER,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0774,BB&B #0774 Durham,3616 Witherspoon Blvd.,Suite 103,Durham,NC,,27707-,,,
SLF940,VAND,165958,,BBB,EB4J8PF,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1002,BB&B #1002 San Antonio,6001 NW Loop 410 Suite #120,,San Antonio,TX,,78238-,,,
SLF940,VAND,165959,,BBB,EB4J8LW,1,PL5202,,,,24,4,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0245,BB&B #0245 Gainesville,6855 NEWBERRY ROAD,,GAINESVILLE,FL,,32605-,,,
SLF940,VAND,165960,,BBB,EB4J8BE,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1195,BB&B #1195 Port St Lucie,10856 SW Village Parkway,,Port St Lucie,FL,,34987-,,,
SLF940,VAND,165961,,BBB,EB4J6JN,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1262,BB&B #1262 SE Fort Worth,1551 North US Hwy 287 Ste 701,,Mansfield,TX,,76063-,,,
SLF940,VAND,165962,,BBB,EB4J6DV,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0801,BB&B #0801 Tupelo,3938 N. Gloster Street Suite E,,Tupelo,MS,,38804-,,,
