SLF940,COMPID,REFNUM,BATCHID,CUSTID,CUSTPO,PICKLINE,ITEMNUM,COLOR,SIZE,CUST_SKU,ITMQTY,CTNS,CTN_QTY,CTN_CUBE,CTN_WGT,ITM_NAME,DTLCOUNT,PONUM,Ord-Line,REQDT,STARTDT,CANCELDT,DEPT,STORE,SHIPTONAME,SHIPTOADD1,SHIPTOADD2,CITY,STATE,ZIPCODE,Country,HDRNOTE,SHIP_VIA
SLF940,FC2015,DK46640-001,FC661-20190222,16579,9927633,1,FFP8537PCCD,,,2543797,216,9,24,3.492,63,ENZYMATIC TARTAR CONTROL TOOTHPASTE,6,,1,2/22/2019,3/4/2019,3/5/2019,9927633,810,PETCO #0810,257 PROSPECT PLAINS RD,,CRANBURY,NJ,8512,,,PRE PAID
SLF940,FC2015,DK46640-001,FC661-20190222,16579,9927633,2,FFP8539PCCD,,,2543818,864,36,24,33.372,360,ENZYMATIC TARTAR CONTROL DENTAL KIT,6,,2,2/22/2019,3/4/2019,3/5/2019,9927633,810,PETCO #0810,257 PROSPECT PLAINS RD,,CRANBURY,NJ,8512,,,PRE PAID
SLF940,FC2015,DK46640-001,FC661-20190222,16579,9927633,3,FFP8979PCCD,,,2648610,144,2,72,1.666,34,ENZYMATIC TARTAR CONTROL TOOTHPASTE,6,,3,2/22/2019,3/4/2019,3/5/2019,9927633,810,PETCO #0810,257 PROSPECT PLAINS RD,,CRANBURY,NJ,8512,,,PRE PAID
SLF940,FC2015,DK46640-001,FC661-20190222,16579,9927633,4,FFP9377PCCD,,,2790405,288,12,24,11.448,108,WELL & GOOD PUPPY TARTAR CONTROL KIT,6,,4,2/22/2019,3/4/2019,3/5/2019,9927633,810,PETCO #0810,257 PROSPECT PLAINS RD,,CRANBURY,NJ,8512,,,PRE PAID
SLF940,FC2015,DK46640-001,FC661-20190222,16579,9927633,5,FFP9379PCCD,,,2802592,96,4,24,1.62,28,WELL & GOOD 3.25 OZ PUPPY PASTE NATURAL,6,,5,2/22/2019,3/4/2019,3/5/2019,9927633,810,PETCO #0810,257 PROSPECT PLAINS RD,,CRANBURY,NJ,8512,,,PRE PAID
SLF940,FC2015,DK46640-001,FC661-20190222,16579,9927633,6,FFP9380PCCD,,,2802605,192,8,24,3.24,56,WELL & GOOD 3.25 OZ NEW PASTE FLAVOR,6,,6,2/22/2019,3/4/2019,3/5/2019,9927633,810,PETCO #0810,257 PROSPECT PLAINS RD,,CRANBURY,NJ,8512,,,PRE PAID
