SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,Cntry,ZipCode,Country,HdrNote,ship-via
SLF940,VAND,166356,,BBB,EB7R4VM,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0593,BB&B #0593 Sparkleberry Square,10136 Two Notch Road Suite 109,,Columbia,SC,,29229-,,,
SLF940,VAND,166357,,BBB,EB7Q2ZV,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0816,BB&B #0816 St. Cloud,3959 Second Street South,,St. Cloud,MN,,56301-,,,
SLF940,VAND,166358,,BBB,EB7P3UZ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0358,BB&B #0358 Youngstown,550 Boardman Poland Road,,Youngstown,OH,,44512-,,,
SLF940,VAND,166359,,BBB,EB7N8MF,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0325,BB&B #0325 Buena Park,8390 On the Mall #237,,Buena Park,CA,,90620-,,,
SLF940,VAND,166360,,BBB,EB7N7NM,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0428,BB&B #0428 Clive,11101 University Ave,Suite A,Clive,IA,,50325-,,,
SLF940,VAND,166361,,BBB,EB7N3WR,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0211,BB&B #0211 Lincoln,2960 PINE LAKE ROAD SUITE A,,LINCOLN,NE,,68516-,,,
SLF940,VAND,166362,,BBB,EB7M7ZE,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1069,BB&B #1069 Cypress,25839 US Highway 290,,Cypress,TX,,77429-,,,
SLF940,VAND,166363,,BBB,EB7M4FT,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1002,BB&B #1002 San Antonio,6001 NW Loop 410 Suite #120,,San Antonio,TX,,78238-,,,
SLF940,VAND,166364,,BBB,EB7L5YW,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0568,BB&B #0568 Mira Mesa,8150 Mira Mesa Blvd,,San Diego,CA,,92126-,,,
SLF940,VAND,166365,,BBB,EB7L4TE,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0045,BB&B #0045 Houston 45,17355 Tomball Parkway Suite 1J,,Houston,TX,,77064-,,,
SLF940,VAND,166367,,BBB,EB7K7NF,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0414,BB&B #0414 Apple Valley,14910 Florence Trail,,Apple Valley,MN,,55124-,,,
SLF940,VAND,166368,,BBB,EB7J9LA,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0335,BB&B #0335 Peoria,4800 North University Street,,Peoria,IL,,61614-,,,
SLF940,VAND,166369,,BBB,EB7J6ZT,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0054,BB&B #0054 Westlake,30083 DETROIT ROAD,,WESTLAKE,OH,,44145-,,,
SLF940,VAND,166370,,BBB,EB7J2QX,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0167,BB&B #0167 Lexington,3220 NICHOLASVILLE RD STE 175,,LEXINGTON,KY,,40503-,,,
SLF940,VAND,166371,,BBB,EB7J2MF,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0293,BB&B #0293 Louisville,996 BRECKINRIDGE LANE,,LOUISVILLE,KY,,40207-,,,
SLF940,VAND,166372,,BBB,EB7H8UL,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1036,BB&B #1036 Polaris,1170 Polaris Parkway,,Columbus,OH,,43240-,,,
SLF940,VAND,166373,,BBB,EB7H7LM,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0342,BB&B #0342 Cedar Rapids,4840 1St Avenue NE,,Cedar Rapids,IA,,52402-,,,
SLF940,VAND,166374,,BBB,EB7H7DT,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0305,BB&B #0305 ROUND ROCK,2701-A Parker Road Suite 400,,Round Rock,TX,,78681-,,,
SLF940,VAND,166375,,BBB,EB7H3ZC,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1061,BB&B #1061 Huber Heights,8284 Old Troy Pike Road,,Huber Heights,OH,,45424-,,,
SLF940,VAND,166376,,BBB,EB7H2XA,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0369,BB&B #0369 Okemos,1982 West Grand River Avenue,,Okemos,MI,,48864-,,,
SLF940,VAND,166377,,BBB,EB7G9ZY,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0564,BB&B #0564 Westfield,1950 6 Greyhound Pass,,Carmel,IN,,46033-,,,
SLF940,VAND,166378,,BBB,EB7G8VQ,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0147,BB&B #0147 Ballwin,141 Highlands Boulevard Drive,,Manchester,MO,,63011-,,,
SLF940,VAND,166379,,BBB,EB7G8NE,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0305,BB&B #0305 ROUND ROCK,2701-A Parker Road Suite 400,,Round Rock,TX,,78681-,,,
SLF940,VAND,166380,,BBB,EB7G8KB,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0769,BB&B #0769 Waco,4633 S Jack Kultgen Exwy,Suite 102,Waco,TX,,76706-,,,
SLF940,VAND,166381,,BBB,EB7E9XT,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0222,BB&B #0222 Appleton,4721 WEST GRANDE MARKET DRIVE,,Appleton,WI,,54913-,,,
SLF940,VAND,166382,,BBB,EB7E7MF,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0086,BB&B #0086 Tulsa,10011 East 71st Street,,TULSA,OK,,74133-,,,
SLF940,VAND,166383,,BBB,EB7E5KC,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1198,BB&B #1198 Bristol,442 Pinnacle Parkway,,BRISTOL,TN,,37620-,,,
SLF940,VAND,166384,,BBB,EB7D8XW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0399,BB&B #0399 Holland,3050 Beeline Road Suite 30,,Holland,MI,,49424-,,,
SLF940,VAND,166385,,BBB,EB7D8RD,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0304,BB&B #0304 Plymouth Meeting,2410 Chemical Road,,Plymouth Meeting,PA,,19462-,,,
SLF940,VAND,166386,,BBB,EB7D5GN,1,PL5202,,,,36,6,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0502,BB&B #0502 Corpus Christi,4717 S Padre Island Dr,Suite F,Corpus Christi,TX,,78411-,,,
SLF940,VAND,166387,,BBB,EB7D2BW,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0006,BB&B #0006 Stamford,2275 SUMMER STREET,,STAMFORD,CT,,06905-,,,
SLF940,VAND,166388,,BBB,EB7C4EN,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0157,BB&B #0157 Mid-Rivers,281 MID RIVERS MALL DRIVE,,ST. PETERS,MO,,63376-,,,
SLF940,VAND,166389,,BBB,EB7B9MH,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1297,BB&B #1297 Strongsville,16700 Royalton Road,,Strongsville,OH,,44136-,,,
SLF940,VAND,166391,,BBB,EB6U2XW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0168,BB&B #0168 Snellville,1905 SCENIC HIGHWAY SUITE 5000,,SNELLVILLE,GA,,30078-,,,
SLF940,VAND,166392,,BBB,EB6Q9FD,1,PL5202,,,,54,9,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1110,BB&B #1110 Miracle Marketplace,3301 Coral Way,,Miami,FL,,33145-,,,
SLF940,VAND,166393,,BBB,EB6P8TU,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1396,BB&B #1396 Decatur,1801 Beltline Road Suite 410,,DECATUR,AL,,35601-,,,
SLF940,VAND,166394,,BBB,EB6P7NW,1,PL5202,,,,24,4,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0339,BB&B #0339 Cool Springs,535 Cool Springs Boulevard,Suite 150,Franklin,TN,,37067-,,,
SLF940,VAND,166400,,BBB,EB6M9AG,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0186,BB&B #0186 Yorba Linda,23041 SAVI RANCH PKWY,,YORBA LINDA,CA,,92887-,,,
SLF940,VAND,166401,,BBB,EB6H7LC,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0496,BB&B #0496 Jackson Crossing,1132 Jackson Crossing,,Jackson,MI,,49202-,,,
SLF940,VAND,166408,,BBB,EB9C3VN,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0334,BB&B #0334 Chino Hills,13021 Peyton Drive,,Chino Hills,CA,,91709-,,,
SLF940,VAND,166409,,BBB,EB9A6QN,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0615,BB&B #0615 Abilene,3417 Catclaw Drive,,Abilene,TX,,79606-,,,
SLF940,VAND,166410,,BBB,EB8Z9DY,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0119,BB&B #0119 Canton,6725 STRIP AVENUE NW,,NORTH CANTON,OH,,44720-,,,
SLF940,VAND,166411,,BBB,EB8Z8ZR,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1032,BB&B #1032 Westchester,8820 S. Sepulveda Blvd.,,Westchester,CA,,90045-,,,
SLF940,VAND,166412,,BBB,EB8Y6FC,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1006,BB&B #1006 Walker,3410 Alpine Avenue NW,,Walker,MI,,49544-,,,
SLF940,VAND,166413,,BBB,EB8W5MM,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0154,BB&B #0154 Southside,8801-1 SOUTHSIDE BOULEVARD,,JACKSONVILLE,FL,,32256-,,,
SLF940,VAND,166414,,BBB,EB8T8VR,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1143,BB&B #1143 East Colonial,3228 East Colonial Drive,,Orlando,FL,,32803-,,,
SLF940,VAND,166415,,BBB,EB8S7FD,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1107,BB&B #1107 San Marcos,1050 McKinley Place Dr Bldg 2 Suite 220,,San Marcos,TX,,78666-,,,
SLF940,VAND,166416,,BBB,EB8R4ZJ,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0060,BB&B #0060 Fairlawn,3750 WEST MARKET ST,Unit K,FAIRLAWN,OH,,44333-,,,
SLF940,VAND,166418,,BBB,EB8P9TL,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1075,BB&B #1075 Sheboygan,3347 Kohler Memorial Drive,,Sheboygan,WI,,53081-,,,
SLF940,VAND,166545,,BBB,MA4Q8VL,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,2310,Puebla,c/o Pathmarn,14810 N FWY Ste 180,Houston,TX,,77090-2310,,,
SLF940,VAND,166546,,BBB,EB9J7LB,1,PL5202,,,,120,20,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0677,BB&B #0677 E-Com Dallas,2900 S Valley Parkway,,LEWISVILLE,TX,,75067-,,,
SLF940,VAND,166547,,BBB,EB9J7LA,1,PL5202,,,,168,28,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0653,BB&B #0653 Port Reading,1001 W Middlesex Avenue,,PORT READING,NJ,,07064-,,,
SLF940,VAND,166548,,BBB,EB9J7KZ,1,PL5202,,,,198,33,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0657,BB&B #0657 Pendergrass,860 John B Brooks Road,,PENDERGRASS,GA,,30567-,,,
SLF940,VAND,166549,,BBB,EB9J3EU,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1030,BB&B #1030 La Quinta,79-110 Hwy 111,,La Quinta,CA,,92253-,,,
SLF940,VAND,166550,,BBB,EB9D7KQ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0087,BB&B #0087 Overland Park,12035 METCALF,,OVERLAND PARK,KS,,66213-,,,
