SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,ZipCode,HdrNote
SLF940,QUEST,TRANSFERWMT2719,,QUEST,WMT2719,1,WMT-SP17-MRBL-1,,-,-,15000,250,60,,,,3,,,2/7/2019,2/7/2019,2/8/2019,,,FREIGHTHORSE,1118 E. 223RD STREET,,CARSON,CA,90745,SHIP OUT WITH THE LABELS 
SLF940,QUEST,TRANSFERWMT2719,,QUEST,WMT2719,2,WMT-SP17-EMOJ-5,,-,-,4980,83,60,,,,3,,,2/7/2019,2/7/2019,2/8/2019,,,FREIGHTHORSE,1118 E. 223RD STREET,,CARSON,CA,90745,SHIP OUT WITH THE LABELS 
SLF940,QUEST,TRANSFERWMT2719,,QUEST,WMT2719,3,SP18-TXT1-1,,-,-,18000,300,60,,,,3,,,2/7/2019,2/7/2019,2/8/2019,,,FREIGHTHORSE,1118 E. 223RD STREET,,CARSON,CA,90745,SHIP OUT WITH THE LABELS 
