SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,Cntry,ZipCode,Country,HdrNote,ship-via
SLF940,VAND,166051,,BBB,EB4Z3PV,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0276,BB&B #0276 Orland Park,203 Orland Park Place,,ORLAND PARK,IL,,60462-,,,
SLF940,VAND,166052,,BBB,EB4Y8JP,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1063,BB&B #1063 Culver City,10822 Jefferson Blvd,,Culver City,CA,,90230-,,,
SLF940,VAND,166061,,BBB,MA4Q4CT,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,2304,BB&B #2304 Satelite,C/O Velocity Express - Houston,,Houston,TX,,77090-2304,,,
SLF940,VAND,166062,,BBB,EB5U8ZV,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0508,BB&B #0508 South Huntsville,2750 Carl T Jones Dr SE Ste400,,Huntsville,AL,,35802-,,,
SLF940,VAND,166063,,BBB,EB5T8RV,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0780,BB&B #0780 Potomac Mills,14101 Crossing Place,,Woodbridge,VA,,22192-,,,
SLF940,VAND,166064,,BBB,EB5T7JP,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0269,BB&B #0269 Franconia,6642 LOISDALE ROAD,,SPRINGFIELD,VA,,22150-,,,
SLF940,VAND,166065,,BBB,EB5S9MP,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1416,BB&B #1416 Valdosta,1700 Norman Drive Suite 400,,VALDOSTA,GA,,31601-,,,
SLF940,VAND,166066,,BBB,EB5S8AR,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0397,BB&B #0397 El Cerrito,6000 El Cerrito Plaza,,El Cerrito,CA,,94530-,,,
SLF940,VAND,166067,,BBB,EB5P9KE,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0307,BB&B #0307 Roseville 307,1120 Galleria Blvd Suite 140,,Roseville,CA,,95678-,,,
SLF940,VAND,166068,,BBB,EB5N8SJ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0027,BB&B #0027 Cherry Hill,2130 Marlton Pike W,Suite D,Cherry Hill,NJ,,08002-,,,
SLF940,VAND,166069,,BBB,EB5N4NU,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0771,BB&B #0771 West Omaha,255 N 170th Street,,Omaha,NE,,68118-,,,
SLF940,VAND,166070,,BBB,EB5M7EK,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0265,BB&B #0265 Mandeville,3414 HIGHWAY 190 SUITE 2,,MANDEVILLE,LA,,70471-,,,
SLF940,VAND,166071,,BBB,EB5L9UR,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1318,BB&B #1318 Toms River,1240 Hooper Ave,,Toms River,NJ,,08753-,,,
SLF940,VAND,166177,,BBB,EB6F9YU,1,PL5202,,,,24,4,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0383,BB&B #0383 Hawthorne,14351 Hindry Avenue,,Hawthorne,CA,,90250-,,,
SLF940,VAND,166178,,BBB,EB6F3KV,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0534,BB&B #0534 Manalapan,#13 US Route Nine South,,Manalapan,NJ,,07726-,,,
SLF940,VAND,166180,,BBB,EB6D4SS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0101,BB&B #0101 Rancho Cucamonga,11530 4TH STREET SUITE 120,,RANCHO CUCAMONGA,CA,,91730-,,,
SLF940,VAND,166182,,BBB,EB6D3ND,1,PL5202,,,,54,9,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0653,BB&B #0653 Port Reading,1001 W Middlesex Avenue,,PORT READING,NJ,,07064-,,,
SLF940,VAND,166183,,BBB,EB6A4YS,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0418,BB&B #0418 Wilmington,352 South College Rd Unit 10B,,Wilmington,NC,,28403-,,,
SLF940,VAND,166184,,BBB,EB5Z9PV,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0295,BB&B #0295 Beverly Hills,31535 Southfield Road,,Beverly Hills,MI,,48025-,,,
SLF940,VAND,166186,,BBB,EB5Z8CX,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0410,BB&B #0410 Cortlandt,3061 East Main Street,,Mohegan Lake,NY,,10547-,,,
SLF940,VAND,166313,,BBB,EB8N9SB,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0243,BB&B #0243 Olathe,15335 W. 119TH STREET,,OLATHE,KS,,66062-,,,
SLF940,VAND,166314,,BBB,EB8M9MW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0771,BB&B #0771 West Omaha,255 N 170th Street,,Omaha,NE,,68118-,,,
SLF940,VAND,166315,,BBB,EB8M8FZ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0406,BB&B #0406 West Plano,6400 West Plano Parkway Suite 125,,Plano,TX,,75093-,,,
SLF940,VAND,166316,,BBB,EB8M7JX,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0404,BB&B #0404 Frisco,2930 Preston Road Suite 400,,Frisco,TX,,75034-,,,
SLF940,VAND,166317,,BBB,EB8M4VA,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0190,BB&B #0190 Crystal Lake,5786 NORTHWEST HIGHWAY,,CRYSTAL LAKE,IL,,60014-,,,
SLF940,VAND,166318,,BBB,EB8M3YT,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1101,BB&B #1101 South Park Meadow,9600 S. IH-35 Service Road SB Building O,,Austin,TX,,78748-,,,
SLF940,VAND,166319,,BBB,EB8K9JJ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0768,BB&B #0768 North Cincinnati,5800 Deerfield Road,,Mason,OH,,45040-,,,
SLF940,VAND,166320,,BBB,EB8K5VU,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0301,BB&B #0301 Rookwood,2719 Edmondson Road,,Cincinnati,OH,,45209-,,,
SLF940,VAND,166321,,BBB,EB8K5MN,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0088,BB&B #0088 Houston 88,10515 KATY FREEWAY SUITE A,,HOUSTON,TX,,77024-,,,
SLF940,VAND,166322,,BBB,EB8J9DL,1,PL5202,,,,24,4,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0370,BB&B #0370 Saw Mill,3708 W Dublin Grandville Road,,Columbus,OH,,43235-,,,
SLF940,VAND,166323,,BBB,EB8J5VP,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0061,BB&B #0061 Plano,801 WEST 15TH STREET SUITE D,,PLANO,TX,,75075-,,,
SLF940,VAND,166324,,BBB,EB8J3PW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0444,BB&B #0444 Lee s Summit,1648 N W Chipman Road,,Lee s Summit,MO,,64081-,,,
SLF940,VAND,166325,,BBB,EB8H9BM,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0456,BB&B #0456 Maple Grove,7950 Wedgewood Lane N,,Maple Grove,MN,,55369-,,,
SLF940,VAND,166326,,BBB,EB8H7LY,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0504,BB&B #0504 Woodlands,1560 Lake Woodlands Drive,,The Woodlands,TX,,77380-,,,
SLF940,VAND,166327,,BBB,EB8G7BN,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1149,BB&B #1149 Sioux Falls,3800 South Louise Ave,,Sioux Falls,SD,,57106-,,,
SLF940,VAND,166328,,BBB,EB8F5ZW,1,PL5202,,,,36,6,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0182,BB&B #0182 Swarthmore,857 BALTIMORE PIKE,,SPRINGFIELD,PA,,19064-,,,
SLF940,VAND,166329,,BBB,EB8F3TT,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0519,BB&B #0519 Beaumont,3975 Dowlen Road,,Beaumont,TX,,77706-,,,
SLF940,VAND,166330,,BBB,EB8E8FB,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0202,BB&B #0202 Grand Rapids,4901 28TH STREET SE,,GRAND RAPIDS,MI,,49512-,,,
SLF940,VAND,166331,,BBB,EB8E4MV,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0312,BB&B #0312 Visalia,3125 South Mooney Blvd.,,Visalia,CA,,93277-,,,
SLF940,VAND,166332,,BBB,EB8E4AN,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0097,BB&B #0097 Austin,5400 BRODIE LANE,Suite 300,AUSTIN,TX,,78745-,,,
SLF940,VAND,166333,,BBB,EB8C2GV,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0514,BB&B #0514 Mesquite,2705 N Mesquite Drive,,Mesquite,TX,,75150-,,,
SLF940,VAND,166334,,BBB,EB8C2DZ,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1317,BB&B #1317 North San Antonio,8262 Agora Parkway,,Selma,TX,,78154-,,,
SLF940,VAND,166335,,BBB,EB8B5VW,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0063,BB&B #0063 Lincoln Park,1800 N. CLYBOURN AVE.,Suite A,CHICAGO,IL,,60614-,,,
SLF940,VAND,166336,,BBB,EB8A8VB,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0610,BB&B #0610 West Lansing,5845 W Saginaw Highway,,Lansing,MI,,48917-,,,
SLF940,VAND,166337,,BBB,EB7Y5WX,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0494,BB&B #0494 La Habra,1320 South Beach Blvd,,LaHabra,CA,,90631-,,,
SLF940,VAND,166338,,BBB,EB7Y5QS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1203,BB&B #1203 Willowbrook,7175 Kingery Highway,,Willowbrook,IL,,60527-,,,
SLF940,VAND,166339,,BBB,EB7Y3FD,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1161,BB&B #1161 Mueller,1201 Barbara Jordan Blvd Suite 200,,Austin,TX,,78723-,,,
SLF940,VAND,166340,,BBB,EB7X4XB,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0499,BB&B #0499 Mequon,11110 North Port Washington Rd,,Mequon,WI,,53092-,,,
