cmp_id,cntr_id,dtl_line,po_num,itm_num,itm_color,itm_size,itm_name,ordr_qty,ctn_qty,ordr_ctn,loc_id,st_rate_id,io_rate_id,ctn_len,ctn_width,ctn_hgt,ctn_cube,ctn_wgt,note
ORLY,CAKU5813073-45,1,5213-2,LOW-LFS-WI-6,WHITE,10,WHT CANVAS SNEAKERS,1760,32,55,R01,STRG,INOUT,31,23,12,4.951,45,-
ORLY,CAKU5813073-45,2,5213-ECOM,LOW-LFS-WI-7,WHITE,-,WHT CANVAS SNEAKER,1632,32,51,R01,STRG,INOUT,30,22,12,4.583,40,-
ORLY,CAKU5813073-45,3,5213-1,LOW-LFS-WI-6,WHITE,-,WHT CANVAS SNEAKER,9600,32,300,R01,STRG,INOUT,31,23,12,4.951,45,-
ORLY,CAKU5813073-45,4,5213,LOW-LFS-WI-6,WHITE,-,WHT CANVAS SNEAKER,7808,32,244,R01,STRG,INOUT,30,22,11,4.201,39,-
