Style,Color,Size,Name,Po Num,Order Qty,Ppk,Notes
LOW-LFS-WI-6,WHITE,10,WHT CANVAS SNEAKERS,5213-2,1760,32,-
LOW-LFS-WI-7,WHITE,-,WHT CANVAS SNEAKER,5213-ECOM,1632,32,-
LOW-LFS-WI-6,WHITE,-,WHT CANVAS SNEAKER,5213-1,9600,32,-
LOW-LFS-WI-6,WHITE,-,WHT CANVAS SNEAKER,5213,7808,32,-
