shipment,dcgcustomer,customerpono,efno,division,trailerno,bolno,carriercode,estimateddate,item,qty,casepack,productline,style,color,size,warehouse,pono,weight,height,width,length
"L","01","056432","200362"," ","EGHU9831184","","EVER LUCENT 891E",02/03/2020,"BU-500D+EU8",1200,8,"19 MONTH PPR PLANNER","BU-500D","BEST MOM"," ","EDS-WEST-WH","99986","0.00",0.00,0.00,0.00
"L","01","056432","200362"," ","EGHU9831184","","EVER LUCENT 891E",02/03/2020,"BU-500D+EXK",1200,8,"19 MONTH PPR PLANNER","BU-500D","SHE CAN DO ALL THING"," ","EDS-WEST-WH","99986","0.00",0.00,0.00,0.00
"L","01","056432","200362"," ","EGHU9831184","","EVER LUCENT 891E",02/03/2020,"BU-500D+VMW",1200,8,"19 MONTH PPR PLANNER","BU-500D","LIVE"," ","EDS-WEST-WH","99986","0.00",0.00,0.00,0.00
"L","01","056432","200362"," ","EGHU9831184","","EVER LUCENT 891E",02/03/2020,"BU-500D+WML",1200,8,"19 MONTH PPR PLANNER","BU-500D","FOR I KNOW"," ","EDS-WEST-WH","99986","0.00",0.00,0.00,0.00
