HDR940,JF2015,JF206-BD51186-001,AAFES CENTRAL EXCH REGION,01745,973Z,0084881026,0084881026,BD51186,001,06/21/2018,06/29/2018,06/29/2018,1,CALL FOR RTG,AAFES CENTRAL EXCH REGION,1801 EXCHANGE PARKWAY,WACO DIST CTR,WACO,TX,76712
DTL940,JF2015,JF206-BD51186-001,01745,0084881026,1,JF27086AACD,478231963,2.0000,1.000,2,2.447000,9.0000,STAR WARS EP8 EPIC TWIN COMF
HDR940,JF2015,JF206-BD51187-001,AAFES CENTRAL EXCH REGION,01745,M042,0084881026,0084881026,BD51187,001,06/21/2018,06/29/2018,06/29/2018,2,CALL FOR RTG,AAFES CENTRAL EXCH REGION,1801 EXCHANGE PARKWAY,WACO DIST CTR,WACO,TX,76712
DTL940,JF2015,JF206-BD51187-001,01745,0084881026,1,JF28829KMCD,478155853,2.0000,1.000,2,.366000,4.3000,CARS 3 HIGH TECH TWIN SS
DTL940,JF2015,JF206-BD51187-001,01745,0084881026,2,JF27087AACD,478155888,2.0000,1.000,2,.357000,4.1600,STAR WARS EP8 EPIC TWIN SHEET
HDR940,JF2015,JF206-BD51188-001,AAFES CENTRAL EXCH REGION,01745,963Z,0084881026,0084881026,BD51188,001,06/21/2018,06/29/2018,06/29/2018,5,CALL FOR RTG,AAFES CENTRAL EXCH REGION,1801 EXCHANGE PARKWAY,WACO DIST CTR,WACO,TX,76712
DTL940,JF2015,JF206-BD51188-001,01745,0084881026,1,JF25681AACD,478155876,6.0000,1.000,6,.954000,13.0000,MOANA THE WAVE TWIN SS
DTL940,JF2015,JF206-BD51188-001,01745,0084881026,2,JF26815AACD,478155878,3.0000,1.000,3,.526000,6.0000,STAR WARS CLASSIC SPACE LOGO TWIN SS
DTL940,JF2015,JF206-BD51188-001,01745,0084881026,3,JF22631AACD,478155886,2.0000,1.000,2,.445000,4.9800,SHOPKINS PATCHWORK TWIN SS
DTL940,JF2015,JF206-BD51188-001,01745,0084881026,4,JF28828KMCD,478231945,1.0000,1.000,1,1.102000,4.0200,CARS 3 HIGH TECH TWIN COMF
DTL940,JF2015,JF206-BD51188-001,01745,0084881026,5,JF25682AACD,478341324,6.0000,1.000,6,2.555000,15.0000,MOANA THE WAVE CORAL FLEECE BLANKET
HDR940,JF2015,JF206-BD51189-001,AAFES CENTRAL EXCH REGION,01745,515Z,0084881026,0084881026,BD51189,001,06/21/2018,06/29/2018,06/29/2018,6,CALL FOR RTG,AAFES CENTRAL EXCH REGION,1801 EXCHANGE PARKWAY,WACO DIST CTR,WACO,TX,76712
