SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,ZipCode,Ship_to_Country,Hdr-Note,Ship_via
SLF940,QUEST,19354,7.23KROGER,KROGER,64378,11,IJCB-CB9-INV-6/36,MULTI,BP,,144,4,36,,,,16,,,7/23/2019,7/23/2019,8/9/2019,,PEYTONS MID SOUTH,,120 KIRBY ROAD,WHSE #086,PORTLAND,TN,37148,USA,,
SLF940,QUEST,19354,7.23KROGER,KROGER,64378,12,IJCB-CB9-INV-6/36,MULTI,BP,,16,1,16,,,,16,,,7/23/2019,7/23/2019,8/9/2019,,PEYTONS MID SOUTH,,120 KIRBY ROAD,WHSE #086,PORTLAND,TN,37148,USA,,
SLF940,QUEST,19354,7.23KROGER,KROGER,64378,13,IJCB-CB10-INV-6/36,-,BP,,144,4,36,,,,16,,,7/23/2019,7/23/2019,8/9/2019,,PEYTONS MID SOUTH,,120 KIRBY ROAD,WHSE #086,PORTLAND,TN,37148,USA,,
SLF940,QUEST,19354,7.23KROGER,KROGER,64378,14,IJCB-CB10-INV-6/36,-,BP,,16,1,16,,,,16,,,7/23/2019,7/23/2019,8/9/2019,,PEYTONS MID SOUTH,,120 KIRBY ROAD,WHSE #086,PORTLAND,TN,37148,USA,,
SLF940,QUEST,19354,7.23KROGER,KROGER,64378,15,IJCB-CB12-INV-6/36,-,BP,,144,4,36,,,,16,,,7/23/2019,7/23/2019,8/9/2019,,PEYTONS MID SOUTH,,120 KIRBY ROAD,WHSE #086,PORTLAND,TN,37148,USA,,
SLF940,QUEST,19354,7.23KROGER,KROGER,64378,16,IJCB-CB12-INV-6/36,-,BP,,16,1,16,,,,16,,,7/23/2019,7/23/2019,8/9/2019,,PEYTONS MID SOUTH,,120 KIRBY ROAD,WHSE #086,PORTLAND,TN,37148,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,1,IJ-CB2-INV-6/36,MULTI,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,2,IJCB-ANI5-INV-6/36,-,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,3,IJCB-CB5-INV-6/36,-,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,4,IJCB-CB6-INV-6/36,-,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,5,IJCB-CB13-INV-6/36,-,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,6,IJCB-CB9-INV-6/36,MULTI,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,7,IJCB-CB10-INV-6/36,-,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
SLF940,QUEST,19356,7.23KROGER,KROGER,,8,IJCB-CB12-INV-6/36,-,BP,,20,1,20,,,,8,,,7/23/2019,7/23/2019,8/9/2019,,CDC WAREHOUSE - ECOMM DEPARTMENT,,4271 EDISON AVE,,CHINO,CA,91710,USA,,
